id,product_hash,category_id,name,slug,description,price,available_item_count,metadata_json
a0078312-2d7d-b380-3c81-1e6d0f155633,07572d14506f1541c1b64485a4abba0c7f5c67d6d9b410e153604b3390c0ef27,b99967b3-f0ef-25b2-9827-cd5c92f7e1a3,Women's Organic Cotton T-Shirt,muji-womens-organic-cotton-t-shirt,Soft organic cotton crew neck t-shirt.,1980,29,{}
4cf1975b-58a7-2792-1ff8-d06ccea325dd,a49abe306d552c592c45355f5722468ea87c2cb8a28a950e14cb08f2fd10d54c,b99967b3-f0ef-25b2-9827-cd5c92f7e1a3,Men's Linen Shirt,muji-mens-linen-shirt,Breathable linen button-down shirt.,3980,70,{}
f0b55e06-7c73-83f6-1e0d-20a18dfbfc63,1d37f35ecd993bc510c3e69f000c5fc485ca3d6b2cd3ca0385b24fc6bbd449ee,b99967b3-f0ef-25b2-9827-cd5c92f7e1a3,Striped French Sleeve Top,muji-striped-french-sleeve-top,Comfortable striped top with short sleeves.,2980,133,{}
9e4b68df-9a20-ca87-14a9-adb692aa315a,5defae3da2a5b89826711513416008d005d5842d59a049df6919cf24f324e84b,b99967b3-f0ef-25b2-9827-cd5c92f7e1a3,Wide Fit Chino Pants,muji-wide-fit-chino-pants,Relaxed-fit chino pants in organic cotton.,4980,49,{}
c4b83d25-7e21-91ed-7b7b-aed7b7bd30a7,4f8fa690b11534fae8ece01cebf6d49d314c546ebf71e7ce44a557be4223fa67,b99967b3-f0ef-25b2-9827-cd5c92f7e1a3,Cotton Blend Cardigan,muji-cotton-blend-cardigan,Lightweight cardigan for layering.,5980,128,{}
0fafb9bd-7905-3a21-4a66-d6260c1c096a,53d3323d6fdfe2cb44b12c8266ecd158d704712f48280c4c47a85247ee963af9,b07fadac-b6d0-f2fd-8cbf-d98fc59c5b29,Stainless Steel Kettle,muji-stainless-steel-kettle,Simple and functional electric kettle.,3980,105,{}
41c180d0-9ca5-9dcc-7d53-8d2f6db60ef8,6a83683df5a14de642f3274f38a5309e622b2d797f9c5b7b1bd7025a26608ca0,b07fadac-b6d0-f2fd-8cbf-d98fc59c5b29,PP Storage Box Set,muji-pp-storage-box-set,Stackable polypropylene storage boxes.,1280,130,{}
38c332af-44d4-000c-2ff2-9d6db0a65c7e,87f3654704b9c3e979636ae52fecd77dca48d4d083a82b5c3e5c013bddf297e7,b07fadac-b6d0-f2fd-8cbf-d98fc59c5b29,Cotton Bath Towel,muji-cotton-bath-towel,Soft and absorbent organic cotton towel.,1980,132,{}
a41a999a-d898-c6d8-0ae1-d5d377ccee86,a2d2968f3b40052d302c8d211141c54c48400df4f39fbd2ff554b21e8f91d718,b07fadac-b6d0-f2fd-8cbf-d98fc59c5b29,Aroma Diffuser,muji-aroma-diffuser,Ultrasonic aroma diffuser for essential oils.,6980,89,{}
81ac898d-cab6-fa01-d25c-93c3494f4eda,dd924e9f0a0ea75dbc66a97be7ce6201c7f078a8635d3a257d1a3e3c24a431ff,b07fadac-b6d0-f2fd-8cbf-d98fc59c5b29,Beechwood Cutlery Set,muji-beechwood-cutlery-set,Natural beechwood cutlery set of 5.,2480,71,{}
